density_gaussian,grad_C,laplacian_C,C_logistic,C_pow2,C_gradC
0.0006846674820831319,0.000606169425017046,-0.026056402318803518,0.0006841987125221098,4.6876956102205576e-07,4.150244939422007e-07
0.0007885153639987781,0.0004862466536567876,-0.031865143617535646,0.0007878936075195159,6.217564792621256e-07,3.8341295710136967e-07
0.0010960582379982,0.000602898197439028,-0.04717707564608743,0.0010948568943371163,1.2013436610837188e-06,6.608115359773118e-07
0.0012868143361105732,0.0006181981531542882,-0.04987722269926183,0.0012851584449749536,1.6558911356196953e-06,7.955062460360179e-07
0.0014850792581492722,0.0007040626873511084,-0.05576793093215199,0.001482873797746287,2.2054604029851925e-06,1.045588893421967e-06
0.0006924958636863802,-1.1212423170172542e-05,-0.020864618143425096,0.0006920163131651575,4.795505212227457e-07,-7.764556667245816e-09
0.0007918908160496453,-0.0002297122977908744,-0.02254773669248667,0.0007912637249851015,6.270910645437732e-07,-1.8190705895425468e-07
0.0010980967980680535,-0.00044796763213015905,-0.03268872740117078,0.0010968909814901263,1.2058165779273114e-06,-4.919118224802553e-07
0.0012886359339849172,-0.0004797567147041509,-0.033567347257979545,0.00128697535141456,1.6605825703571797e-06,-6.18231742138319e-07
0.0014874664682731492,-0.0005226347179364563,-0.03746107186970294,0.0014852539117789123,2.2125564942369957e-06,-7.774016180858741e-07
0.0006840773545478597,-0.0004919683720053273,-0.012414254987002092,0.0006836093927208545,4.679618270051981e-07,-3.3654442244262164e-07
0.0007764252430624163,-0.0007004763301583002,-0.010650284279123418,0.0007758224069043518,6.028361580645322e-07,-5.438675049026276e-07
0.0010724809942018758,-0.0011175611394646972,-0.014193141503750967,0.0010713307787189516,1.1502154829242439e-06,-1.1985630819344796e-06
0.0012615639827050916,-0.001148504334107793,-0.014396769988139463,0.001259972439022633,1.5915436824587327e-06,-1.4489117018910865e-06
0.001457572167731564,-0.0012675726742122039,-0.01441463443917761,0.0014554476511074183,2.1245166241456904e-06,-1.8475786505087775e-06
0.0006666027914755735,-0.0006645942645913353,-0.001124568699565902,0.0006661584321939705,4.44359281603027e-07,-4.4302039197524e-07
0.0007550236407781559,-0.0007902535756394753,-0.0008577436368016355,0.000754453580080022,5.700606981339017e-07,-5.966601318172724e-07
0.0010392777907278063,-0.0011949750796959994,0.0013756190645524235,0.0010381976924015062,1.0800983263000698e-06,-1.2419110608012426e-06
0.001228188337452928,-0.0012374814509220173,-0.0016690752232302827,0.0012266798908606726,1.5084465922553875e-06,-1.5198602858367496e-06
0.0014207521169988227,-0.0012812996884194884,0.0033748633324389835,0.001418733580420866,2.0185365779566363e-06,-1.82040924483192e-06
0.0006490987090430525,-0.0005511561982982695,0.006573362128747094,0.0006486773799089712,4.2132913408135737e-07,-3.5775477679648345e-07
0.0007348329496077071,-0.0007456207320952284,0.00084411296447305,0.0007342929701438779,5.399794638291629e-07,-5.479066818541947e-07
0.001009587568954718,-0.0010451601360672012,0.004383427642496303,0.00100856830189533,1.0192670593878972e-06,-1.0551806809404678e-06
0.0011964333800249854,-0.0012363503984883341,-0.0013582350733285834,0.0011950019271921475,1.4314528328380112e-06,-1.4792108861586351e-06
0.001390135342025275,-0.0010899482882943626,0.004525058939945122,0.0013882028657561274,1.9324762691477284e-06,-1.515175636537947e-06
0.0006375945705125067,-0.0003186278367625409,0.0060430512047723855,0.0006371880436761597,4.065268363470279e-07,-2.0315537873394136e-07
0.0007157804443520912,-0.0007458265775093148,-0.001956436540125926,0.0007152681027075743,5.123416445168771e-07,-5.338480790592167e-07
0.000984269362513743,-0.0009642683616698782,-2.450435514486128e-05,0.0009833005763357598,9.6878617798321e-07,-9.490998056329824e-07
0.001163117263848279,-0.0013089675074129954,-0.0018907505740771928,0.001161764422078817,1.352841769461907e-06,-1.5224827056885049e-06
0.0013633864176149089,-0.0010431386915802714,-0.0007196839006320425,0.001361527595091172,1.8588225237368146e-06,-1.4222011237891296e-06
