Density_Raw,source_file,initial_cells,time_step,x_coordinate,density_rolling_mean,density_gaussian
0.00085781,density_1D_filter_3_t5_refine4.dat,10000,5,0.21052631578947367,0.0008638057142857143,0.0008660829165360628
0.0006993,density_1D_filter_3_t5_refine4.dat,10000,5,0.23684210526315788,0.000831837142857143,0.000803096858843369
0.00078788,density_1D_filter_3_t5_refine4.dat,10000,5,0.2631578947368421,0.0007898785714285714,0.0007609757317514662
0.00070862,density_1D_filter_3_t5_refine4.dat,10000,5,0.2894736842105263,0.0007246071428571429,0.000734748304672505
0.00075058,density_1D_filter_3_t5_refine4.dat,10000,5,0.3157894736842105,0.0006893085714285715,0.0007070167083297248
0.00070396,density_1D_filter_3_t5_refine4.dat,10000,5,0.3421052631578947,0.00065734,0.0006655698362751227
0.0005641,density_1D_filter_3_t5_refine4.dat,10000,5,0.3684210526315789,0.0005854114285714285,0.0006079902569821456
0.00061072,density_1D_filter_3_t5_refine4.dat,10000,5,0.39473684210526316,0.0005068242857142857,0.0005323188201031788
0.00047552,density_1D_filter_3_t5_refine4.dat,10000,5,0.42105263157894735,0.00042290857142857145,0.0004353359646331495
0.00028438,density_1D_filter_3_t5_refine4.dat,10000,5,0.4473684210526315,0.00034898285714285714,0.00032921965322216213
0.00015851,density_1D_filter_3_t5_refine4.dat,10000,5,0.47368421052631576,0.0002810511428571428,0.00024061296104278856
0.00016317,density_1D_filter_3_t5_refine4.dat,10000,5,0.5,0.00020246342857142857,0.00018263728779082406
0.00018648,density_1D_filter_3_t5_refine4.dat,10000,5,0.5263157894736842,0.000140526,0.00014394671655808058
8.8578e-05,density_1D_filter_3_t5_refine4.dat,10000,5,0.5526315789473684,0.00011055628571428572,0.00011113300876539364
6.0606e-05,density_1D_filter_3_t5_refine4.dat,10000,5,0.5789473684210527,0.00010855771428571429,8.779683367324487e-05
4.1958e-05,density_1D_filter_3_t5_refine4.dat,10000,5,0.6052631578947368,0.000124542,8.846186356746583e-05
7.4592e-05,density_1D_filter_3_t5_refine4.dat,10000,5,0.631578947368421,0.00017649057142857144,0.00012721051046019055
0.00014452,density_1D_filter_3_t5_refine4.dat,10000,5,0.6578947368421052,0.00026373657142857144,0.00021415310863843445
0.00027506,density_1D_filter_3_t5_refine4.dat,10000,5,0.6842105263157894,0.00038827857142857144,0.0003506763816874755
0.00055012,density_1D_filter_3_t5_refine4.dat,10000,5,0.7105263157894737,0.0005361274285714286,0.0005224012365524475
0.0006993,density_1D_filter_3_t5_refine4.dat,10000,5,0.7368421052631579,0.0006699999999999999,0.0007019569025638073
0.0009324,density_1D_filter_3_t5_refine4.dat,10000,5,0.763157894736842,0.0008171828571428571,0.0008602285280876208
0.0010769,density_1D_filter_3_t5_refine4.dat,10000,5,0.7894736842105263,0.0009377314285714285,0.0009781043206315407
0.0010117,density_1D_filter_3_t5_refine4.dat,10000,5,0.8157894736842105,0.0010289714285714286,0.0010561610184645885
0.0011748,density_1D_filter_3_t5_refine4.dat,10000,5,0.8421052631578947,0.0011068999999999999,0.001108845463286758
0.0011189,density_1D_filter_3_t5_refine4.dat,10000,5,0.8684210526315789,0.0011481857142857145,0.0011490300846862765
0.0011888,density_1D_filter_3_t5_refine4.dat,10000,5,0.894736842105263,0.0011628428571428572,0.0011836412004803587
0.0012448,density_1D_filter_3_t5_refine4.dat,10000,5,0.9210526315789473,0.001251414285714286,0.001218030789928886
0.0012214,density_1D_filter_3_t5_refine4.dat,10000,5,0.9473684210526315,0.001288042857142857,0.0012637759805997494
0.0011795,density_1D_filter_3_t5_refine4.dat,10000,5,0.9736842105263157,0.0013306571428571428,0.0013301046140979454
0.00034499,density_1D_filter_3_t2_refine4.dat,10000,2,0.0,0.0002995325,0.0003290888777448591
0.00034499,density_1D_filter_3_t2_refine4.dat,10000,2,0.02631578947368421,0.000309556,0.0003166733049617069
0.00026573,density_1D_filter_3_t2_refine4.dat,10000,2,0.05263157894736842,0.0003232316666666667,0.0003038701796612147
0.00024242,density_1D_filter_3_t2_refine4.dat,10000,2,0.07894736842105263,0.00032167714285714287,0.00030535730101930066
0.00034965,density_1D_filter_3_t2_refine4.dat,10000,2,0.10526315789473684,0.0003170142857142857,0.0003198715864140455
0.00039161,density_1D_filter_3_t2_refine4.dat,10000,2,0.13157894736842105,0.0002996985714285714,0.00032852864713090276
0.00031235,density_1D_filter_3_t2_refine4.dat,10000,2,0.15789473684210525,0.00029770142857142855,0.00031737439511832666
0.00031235,density_1D_filter_3_t2_refine4.dat,10000,2,0.18421052631578946,0.00028771142857142863,0.0002899110404092613
0.00022378,density_1D_filter_3_t2_refine4.dat,10000,2,0.21052631578947367,0.0002610714285714286,0.0002566170122624665
0.00025175,density_1D_filter_3_t2_refine4.dat,10000,2,0.23684210526315788,0.00022177714285714285,0.00022342191343946996
0.00017249,density_1D_filter_3_t2_refine4.dat,10000,2,0.2631578947368421,0.00019913428571428573,0.00019192634042390256
0.00016317,density_1D_filter_3_t2_refine4.dat,10000,2,0.2894736842105263,0.0001698314285714286,0.00016451641308327927
0.00011655,density_1D_filter_3_t2_refine4.dat,10000,2,0.3157894736842105,0.00014652085714285715,0.00014322797700999139
0.00015385,density_1D_filter_3_t2_refine4.dat,10000,2,0.3421052631578947,0.000125208,0.00012557987607853108
0.00010723,density_1D_filter_3_t2_refine4.dat,10000,2,0.3684210526315789,0.00010789257142857143,0.00010804912493711473
6.0606e-05,density_1D_filter_3_t2_refine4.dat,10000,2,0.39473684210526316,9.390657142857143e-05,9.193936731965149e-05
0.00010256,density_1D_filter_3_t2_refine4.dat,10000,2,0.42105263157894735,8.991057142857144e-05,8.018685855420538e-05
5.1282e-05,density_1D_filter_3_t2_refine4.dat,10000,2,0.4473684210526315,7.5258e-05,7.297457098680158e-05
6.5268e-05,density_1D_filter_3_t2_refine4.dat,10000,2,0.47368421052631576,6.460142857142858e-05,6.849357407206149e-05
8.8578e-05,density_1D_filter_3_t2_refine4.dat,10000,2,0.5,5.927342857142857e-05,6.276088632709036e-05
5.1282e-05,density_1D_filter_3_t2_refine4.dat,10000,2,0.5263157894736842,4.5954e-05,5.231805254407296e-05
